

admin@DESKTOP-CTAGE42 MSYS /d/AlBrowserDownloads/cryptopp600a
mingw32 mingw-w64-i686-gst-python2 1.14.1-1
mingw32 mingw-w64-i686-gst-rtsp-server 1.14.1-1
mingw32 mingw-w64-i686-gstreamer 1.14.1-1
mingw32 mingw-w64-i686-gtef 2.0.1-1
mingw32 mingw-w64-i686-gtest 1.8.0-1
mingw32 mingw-w64-i686-gtk-doc 1.28-1
mingw32 mingw-w64-i686-gtk-engine-murrine 0.98.2-2
mingw32 mingw-w64-i686-gtk-engines 2.21.0-2
mingw32 mingw-w64-i686-gtk-vnc 0.7.1-1
mingw32 mingw-w64-i686-gtk2 2.24.32-1
mingw32 mingw-w64-i686-gtk3 3.22.30-1
mingw32 mingw-w64-i686-gtkglext 1.2.0-3
mingw32 mingw-w64-i686-gtkimageview 1.6.4-3
mingw32 mingw-w64-i686-gtkmm 2.24.5-1
mingw32 mingw-w64-i686-gtkmm3 3.22.0-1
mingw32 mingw-w64-i686-gtksourceview2 2.10.5-3
mingw32 mingw-w64-i686-gtksourceview3 3.24.6-1
mingw32 mingw-w64-i686-gtksourceviewmm3 3.21.3-1
mingw32 mingw-w64-i686-gtkspell 2.0.16-6
mingw32 mingw-w64-i686-gtkspell3 3.0.9-1
mingw32 mingw-w64-i686-gtkwave 3.3.79-1
mingw32 mingw-w64-i686-gxml 0.16.3-1
mingw32 mingw-w64-i686-harfbuzz 1.7.5-2
mingw32 mingw-w64-i686-hclient-git 233.8b17cf3-1
mingw32 mingw-w64-i686-hdf4 4.2.13-1
mingw32 mingw-w64-i686-hdf5 1.8.20-1
mingw32 mingw-w64-i686-headers-git 6.0.0.5136.897300fe-1
mingw32 mingw-w64-i686-hicolor-icon-theme 0.15-2
mingw32 mingw-w64-i686-hidapi 0.8.0rc1-4
mingw32 mingw-w64-i686-hlsl2glsl-git r848.957cd20-1
mingw32 mingw-w64-i686-http-parser 2.8.1-1
mingw32 mingw-w64-i686-hunspell 1.6.2-1
mingw32 mingw-w64-i686-hunspell-en 2016.11.20-2
mingw32 mingw-w64-i686-hyphen 2.8.8-1
mingw32 mingw-w64-i686-hyphen-en 2.8.8-1
mingw32 mingw-w64-i686-iconv 1.15-2
mingw32 mingw-w64-i686-icoutils 0.32.3-1
mingw32 mingw-w64-i686-icu 61.1-1
mingw32 mingw-w64-i686-icu-debug-libs 61.1-1
mingw32 mingw-w64-i686-id3lib 3.8.3-2
mingw32 mingw-w64-i686-ilmbase 2.2.1-1
mingw32 mingw-w64-i686-imagemagick 7.0.7.28-1
mingw32 mingw-w64-i686-indent 2.2.11-4
mingw32 mingw-w64-i686-inkscape 0.92.3-3
mingw32 mingw-w64-i686-innoextract 1.6-2
mingw32 mingw-w64-i686-intel-tbb 1~2018_20171205-1
mingw32 mingw-w64-i686-irrlicht 1.8.4-1
mingw32 mingw-w64-i686-isl 0.19-1
mingw32 mingw-w64-i686-iso-codes 3.76-1
mingw32 mingw-w64-i686-itk 4.13.0-2
mingw32 mingw-w64-i686-jansson 2.11-1
mingw32 mingw-w64-i686-jasper 2.0.14-1
mingw32 mingw-w64-i686-jbigkit 2.1-4
mingw32 mingw-w64-i686-jemalloc 5.1.0-1
mingw32 mingw-w64-i686-jpegoptim 1.4.4-1
mingw32 mingw-w64-i686-jq 1.5-5
mingw32 mingw-w64-i686-json-c 0.13.1_20180305-1
mingw32 mingw-w64-i686-json-glib 1.4.2-2
mingw32 mingw-w64-i686-jsoncpp 1.8.4-1
mingw32 mingw-w64-i686-jsonrpc-glib 3.28.0-1
mingw32 mingw-w64-i686-jxrlib 1.1-2
mingw32 mingw-w64-i686-kactivities-qt5 5.42.0-1
mingw32 mingw-w64-i686-karchive-qt5 5.42.0-1
mingw32 mingw-w64-i686-kauth-qt5 5.42.0-1
mingw32 mingw-w64-i686-kcodecs-qt5 5.42.0-1
mingw32 mingw-w64-i686-kcompletion-qt5 5.42.0-1
mingw32 mingw-w64-i686-kconfig-qt5 5.42.0-1
mingw32 mingw-w64-i686-kconfigwidgets-qt5 5.42.0-1
mingw32 mingw-w64-i686-kcoreaddons-qt5 5.42.0-1
mingw32 mingw-w64-i686-kcrash-qt5 5.42.0-1
mingw32 mingw-w64-i686-kdbusaddons-qt5 5.42.0-1
mingw32 mingw-w64-i686-kdnssd-qt5 5.42.0-1
mingw32 mingw-w64-i686-kdoctools-qt5 5.42.0-1
mingw32 mingw-w64-i686-kfilemetadata-qt5 5.42.0-2
mingw32 mingw-w64-i686-kglobalaccel-qt5 5.42.0-1
mingw32 mingw-w64-i686-kguiaddons-qt5 5.42.0-1
mingw32 mingw-w64-i686-kholidays-qt5 17.12.1-1
mingw32 mingw-w64-i686-ki18n-qt5 5.42.0-1
mingw32 mingw-w64-i686-kicad-git r5971.ba32ccb-1
mingw32 mingw-w64-i686-kiconthemes-qt5 5.42.0-1
mingw32 mingw-w64-i686-kidletime-qt5 5.42.0-1
mingw32 mingw-w64-i686-kimageformats-qt5 5.42.0-1
mingw32 mingw-w64-i686-kiss_fft 1.3.0-2
mingw32 mingw-w64-i686-kitemmodels-qt5 5.42.0-1
mingw32 mingw-w64-i686-kitemviews-qt5 5.42.0-1
mingw32 mingw-w64-i686-kjobwidgets-qt5 5.42.0-1
mingw32 mingw-w64-i686-kjs-qt5 5.42.0-1
mingw32 mingw-w64-i686-kpackage-qt5 5.42.0-1
mingw32 mingw-w64-i686-kplotting-qt5 5.42.0-1
mingw32 mingw-w64-i686-kqoauth-qt4 0.98-3
mingw32 mingw-w64-i686-kservice-qt5 5.42.0-1
mingw32 mingw-w64-i686-ktextwidgets-qt5 5.42.0-1
mingw32 mingw-w64-i686-kunitconversion-qt5 5.42.0-1
mingw32 mingw-w64-i686-kvazaar 1.2.0-1
mingw32 mingw-w64-i686-kwidgetsaddons-qt5 5.42.1-1
mingw32 mingw-w64-i686-kwindowsystem-qt5 5.42.0-1
mingw32 mingw-w64-i686-kxmlgui-qt5 5.42.0-1
mingw32 mingw-w64-i686-l-smash 2.14.5-1
mingw32 mingw-w64-i686-ladspa-sdk 1.13-2
mingw32 mingw-w64-i686-lame 3.100-1
mingw32 mingw-w64-i686-lapack 3.8.0-1
mingw32 mingw-w64-i686-lasem 0.4.3-1
mingw32 mingw-w64-i686-laszip 3.2.2-1
mingw32 mingw-w64-i686-latexila 3.22.0-1
